A,B,C,D,F
57,48,1,4,1
17,44,0,8,5
57,2,2,5,0
4,66,3,3,2
58,15,0,1,0
57,42,0,5,0
21,67,0,10,2
39,17,0,6,3
54,46,0,0,1
9,0,0,0,4
40,1,1,2,3
26,65,0,11,5
37,11,3,6,0
39,67,3,5,4
69,24,1,1,0
41,6,3,1,5
43,4,1,5,1
36,35,1,0,5
30,47,3,12,2
31,40,3,8,2
5,11,0,6,4
49,44,3,10,3
38,22,1,2,2
23,11,1,5,2
3,60,1,0,0
46,33,1,1,1
37,2,3,11,4
39,51,2,12,0
48,15,1,2,1
50,22,1,10,5
20,14,2,9,2
7,41,0,5,2
23,27,3,12,3
68,63,1,11,3
17,5,0,3,1
2,32,1,7,0
70,42,3,9,1
67,14,3,1,2
17,13,2,10,0
54,3,3,0,2
13,41,3,10,2
2,32,1,11,2
30,13,0,8,2
43,41,0,8,1
20,22,1,10,2
4,42,3,2,1
14,15,2,5,4
10,27,2,12,4
22,23,1,11,3
56,32,0,6,2
25,16,2,8,0
17,30,1,10,0
26,35,0,4,4
5,7,2,8,4
10,13,0,5,3
25,68,0,6,5
63,40,2,11,1
1,45,3,0,1
42,68,2,10,5
40,63,1,3,1
66,53,3,9,2
41,54,3,6,1
6,2,0,4,5
37,49,3,1,4
21,41,0,8,4
56,50,1,2,3
50,26,2,7,4
17,16,0,5,2
23,43,1,4,2
25,1,3,1,3
20,12,1,2,4
5,33,3,2,3
58,39,1,3,0
42,53,0,10,4
12,44,3,10,2
26,12,2,6,5
33,7,3,3,2
69,64,2,7,5
50,7,3,4,5
1,27,1,2,4
29,37,2,10,2
53,64,2,12,3
55,50,2,11,1
12,30,3,9,2
13,54,2,10,2
27,52,3,1,5
52,17,2,6,2
31,4,2,9,5
51,14,2,5,3
45,55,1,11,5
66,70,1,10,4
16,54,0,3,5
50,6,0,7,5
0,60,1,6,4
25,48,2,12,2
64,65,2,8,5
7,59,0,9,0
17,21,0,11,2
56,34,1,7,3
7,66,3,11,2
63,34,0,1,2
49,50,3,11,4
68,35,2,12,3
54,56,1,4,4
8,54,3,9,1
30,29,0,6,3
55,53,2,12,4
22,62,2,9,3
68,18,3,5,1
18,30,1,9,5
10,11,2,2,3
12,37,2,9,3
18,50,0,3,2
65,12,0,6,3
61,35,0,2,3
48,6,3,9,3
26,62,2,0,0
19,2,3,9,0
56,11,2,4,1
61,43,2,0,5
8,2,2,10,5
63,19,2,5,1
67,60,3,12,3
14,41,0,3,3
16,55,1,12,0
58,33,1,2,0
68,66,3,8,1
2,46,2,6,4
29,22,3,2,0
41,29,3,3,4
4,12,3,9,3
14,25,2,2,1
9,4,1,10,2
13,35,3,10,4
20,11,2,10,4
28,28,0,12,5
20,45,1,8,1
19,15,2,12,1
54,7,2,12,5
62,41,3,12,2
41,64,0,0,5
12,37,2,2,1
44,50,2,11,2
50,63,3,8,2
42,1,3,0,2
13,46,1,9,3
11,14,3,7,5
60,32,0,8,5
5,3,1,11,1
30,25,3,3,4
51,44,2,0,5
10,28,2,9,5
0,2,1,10,3
60,56,0,6,0
48,35,3,9,4
63,58,2,12,3
69,65,3,9,5
28,6,1,3,2
46,63,1,2,4
64,8,0,1,0
38,28,0,5,2
63,70,2,10,2
10,8,2,1,3
13,1,2,0,1
46,58,0,12,3
14,51,2,3,3
69,39,0,0,2
23,61,0,0,1
59,29,3,6,1
27,52,0,11,2
21,39,2,6,0
3,53,0,8,5
32,60,0,3,1
65,2,3,6,2
22,3,0,6,5
56,32,0,1,5
19,36,0,8,4
31,0,2,0,0
52,49,2,2,1
43,33,0,4,3
36,9,2,0,3
42,69,1,3,1
44,30,2,12,4
14,26,0,9,2
49,70,3,9,0
5,67,3,1,5
52,33,0,8,4
34,17,3,4,4
67,24,3,2,3
68,60,1,0,4
6,10,3,3,4
53,48,0,6,0
45,15,3,5,0
69,41,2,4,3
67,42,1,4,1
50,36,1,10,0
33,5,1,8,4
22,64,2,4,4
5,46,0,11,3
39,63,1,8,3
44,21,0,3,5
19,23,0,10,4
34,7,1,3,4
11,61,3,7,0
44,34,3,10,5
52,57,2,12,4
47,6,1,0,5
69,50,3,0,0
9,12,1,5,2
3,14,2,7,0
28,53,0,7,1
16,0,2,9,0
0,23,1,6,1
9,61,2,4,4
25,49,3,9,0
48,10,2,11,0
34,31,3,8,0
6,41,1,4,2
32,27,0,7,1
12,63,2,11,5
26,16,2,9,3
45,49,1,2,0
22,4,1,7,1
27,66,1,1,2
10,27,2,5,5
38,36,1,11,3
40,49,1,8,2
58,38,3,7,1
52,52,0,7,1
60,46,0,5,0
58,15,1,11,0
49,2,3,5,4
13,3,3,7,3
49,55,1,11,0
64,52,0,1,3
31,50,2,2,1
1,9,3,8,3
23,43,3,9,5
70,28,3,1,4
47,49,0,0,1
70,67,2,2,1
55,50,0,0,4
60,35,1,7,0
15,23,2,3,0
57,8,3,0,5
69,65,2,6,4
21,11,2,7,1
45,26,3,3,0
32,64,3,4,4
19,50,2,10,4
30,70,2,2,5
20,12,1,12,5
69,54,1,3,4
62,55,1,10,3
26,50,3,11,2
11,39,3,2,5
68,32,2,2,2
31,49,2,8,0
68,61,1,3,2
15,11,2,6,5
61,67,3,8,1
62,69,0,10,4
31,44,3,4,0
49,60,3,6,3
9,14,2,12,3
64,40,2,8,1
28,45,0,7,2
22,58,2,12,5
52,49,2,6,4
51,18,0,8,4
47,17,3,7,2
51,28,0,3,2
29,10,1,1,3
33,43,3,5,4
62,32,1,3,3
53,2,2,6,0
22,29,0,6,5
59,46,0,1,0
50,32,3,8,1
26,15,0,4,5
7,4,3,6,4
21,30,3,2,3
15,19,3,0,4
5,23,0,0,2
19,19,2,5,3
60,5,1,7,0
68,59,0,10,1
56,7,2,3,4
67,59,3,12,5
38,48,2,0,4
20,19,3,7,4
62,55,1,4,3
8,67,0,1,0
4,7,2,10,3
25,69,1,9,2
65,21,0,7,1
32,21,0,9,1
36,7,0,10,0
55,66,3,7,3
1,8,3,4,1
4,36,2,5,1
7,39,0,5,4
51,11,3,2,0
30,37,3,9,4
59,29,2,0,0
67,45,0,12,4
37,5,0,1,1
45,29,0,8,2
11,69,3,10,0
50,48,3,0,1
45,52,1,3,4
37,32,1,7,3
28,57,2,2,1
16,10,1,9,3
25,27,2,0,0
5,15,1,11,3
51,20,3,4,0
9,11,2,1,0
64,31,3,9,4
21,35,3,6,1
38,48,2,5,1
26,47,2,8,5
19,60,3,4,4
31,62,1,3,2
58,52,2,9,1
69,62,1,7,5
67,38,1,11,4
28,38,2,9,1
8,59,3,6,0
6,1,3,5,1
69,32,2,3,2
65,7,0,8,2
15,40,1,8,3
24,44,0,9,1
6,41,1,2,3
39,32,2,4,5
48,31,0,11,1
7,64,2,3,0
61,40,3,3,4
28,55,1,5,0
44,17,2,9,2
55,21,3,5,2
12,4,0,11,2
33,32,0,0,2
9,7,2,11,4
43,56,1,1,1
51,31,2,7,5
55,4,0,11,2
15,45,0,1,1
31,64,1,11,3
21,65,1,11,2
14,56,1,11,5
38,40,1,2,0
15,41,1,0,1
25,11,2,2,1
62,44,3,10,4
36,68,2,1,3
41,7,3,8,0
41,15,1,2,2
46,0,3,12,3
69,23,3,3,2
13,12,1,5,5
24,59,0,7,1
51,6,3,8,5
38,12,2,10,0
10,54,3,8,2
61,34,0,6,0
54,34,2,10,3
68,51,0,9,3
11,61,1,9,2
52,48,1,4,2
67,22,0,3,4
34,66,0,2,5
8,30,2,12,3
28,41,3,12,4
14,49,3,5,1
15,11,3,1,4
24,70,3,4,1
7,8,2,4,2
5,21,0,2,4
35,40,0,4,2
36,59,1,11,2
9,0,2,11,5
40,68,1,4,1
63,21,1,3,3
60,63,0,11,4
50,39,3,0,0
60,52,3,3,5
48,21,2,8,5
61,61,2,12,3
66,62,2,0,0
54,22,2,1,0
21,24,3,6,3
17,0,2,6,4
18,4,3,4,1
25,23,3,7,5
53,47,1,10,2
46,55,0,11,5
6,64,2,11,2
28,28,2,12,0
17,25,2,3,4
41,13,1,1,1
35,63,2,2,3
3,17,1,5,5
22,58,0,3,0
47,49,1,4,2
60,30,3,4,5
52,28,3,4,4
47,33,2,9,4
49,40,3,5,3
30,51,1,2,2
39,19,3,6,1
8,57,2,0,4
35,52,2,5,4
30,44,1,7,5
35,65,1,1,4
22,38,0,12,3
40,45,0,10,5
40,63,2,0,1
34,12,3,3,2
47,63,1,8,1
32,55,1,12,0
7,8,0,3,0
13,6,0,5,5
4,59,3,0,4
7,5,1,6,4
17,44,2,0,0
51,53,1,0,2
5,49,0,0,2
4,52,2,6,1
64,64,3,11,0
48,31,1,1,3
22,40,1,9,3
43,45,3,2,2
12,5,1,1,4
61,37,2,0,3
3,56,0,3,1
65,17,3,4,1
39,19,0,11,0
23,42,3,12,2
19,37,1,9,1
15,13,2,6,2
64,43,0,12,0
28,22,0,6,1
16,36,0,11,0
53,25,3,9,0
23,61,1,1,0
41,50,3,10,1
36,12,0,9,5
48,14,1,1,0
32,27,2,3,1
41,51,0,4,4
9,61,3,2,5
54,49,1,2,3
30,23,3,6,5
24,29,2,8,4
25,42,1,8,5
18,17,0,8,3
63,44,2,8,5
67,0,0,2,0
16,13,0,12,3
8,49,0,4,2
25,16,1,2,4
5,66,2,7,3
32,27,3,1,5
55,63,2,0,0
47,6,0,5,1
5,43,0,1,5
49,45,3,4,2
43,52,2,12,3
20,53,2,1,4
32,52,0,2,5
4,63,2,2,2
52,30,3,9,3
8,36,3,6,0
3,49,2,2,1
33,60,0,8,0
16,58,3,0,4
3,44,3,9,4
52,25,0,10,4
11,5,2,3,3
20,26,1,12,3
16,29,0,1,1
3,6,1,4,5
45,51,1,11,2
54,3,3,7,0
61,45,3,6,5
32,69,3,11,5
52,20,2,10,3
47,65,1,7,4
58,32,0,0,2
18,10,2,4,1
4,42,1,12,2
47,41,0,10,3
11,54,0,10,5
41,26,3,6,1
6,52,1,2,5
64,5,1,9,5
6,29,1,2,4
59,58,2,2,4
66,55,3,0,0
62,13,0,1,5
48,46,2,4,1
39,1,1,4,3
59,70,0,9,4
58,31,2,2,1
11,49,3,8,5
49,40,3,8,5
32,18,1,9,0
40,7,2,6,2
4,26,2,12,1
11,37,3,0,1
31,50,2,8,0
32,2,2,7,4
39,49,2,3,3
1,70,1,6,0
11,0,2,6,2
15,30,1,1,3
5,69,3,4,0
69,20,0,6,0
43,65,3,9,5
32,3,3,5,2
7,8,3,6,1
12,66,0,3,2
16,58,2,9,1
60,13,2,3,3
63,11,2,3,0
47,44,3,2,1
23,23,3,1,2
62,21,2,12,3
41,28,2,9,5
20,48,2,12,3
53,13,0,3,2
70,67,3,9,0
48,34,3,4,1
0,61,3,4,0
46,8,2,7,5
37,0,2,6,4
3,30,2,5,1
48,70,3,8,4
36,59,1,0,0
42,4,3,10,3
49,11,0,8,3
3,2,2,4,5
8,37,2,7,4
31,41,2,7,5
70,14,1,7,3
61,7,0,1,3
24,4,2,1,4
16,57,2,2,0
57,63,0,7,5
18,1,0,5,3
32,60,1,5,3
70,53,2,11,2
46,64,0,6,0
9,13,3,11,3
20,9,3,2,0
67,59,3,4,3
52,26,3,1,5
54,57,0,10,5
48,0,2,5,5
30,38,0,5,4
8,39,2,8,2
48,8,3,1,2
36,19,1,1,1
69,29,3,12,1
34,37,3,8,0
55,7,0,8,4
29,16,2,0,4
20,21,3,10,2
30,53,1,6,0
55,50,3,12,5
53,57,1,9,4
47,45,2,4,2
41,16,1,0,1
49,19,1,1,1
1,62,3,0,0
8,36,3,2,2
1,28,3,11,5
64,47,1,8,4
16,59,3,12,0
48,33,3,11,0
16,17,3,10,5
36,69,1,7,2
30,4,3,2,0
1,6,3,10,4
9,30,0,8,3
56,29,1,0,2
61,61,3,3,5
21,4,1,9,4
22,52,1,10,3
16,32,0,10,2
6,7,1,11,4
69,64,2,12,1
1,19,2,2,1
9,40,2,2,2
26,17,0,7,1
11,40,1,6,0
29,49,1,12,2
23,70,2,5,4
34,39,1,3,4
61,14,2,3,1
2,11,0,6,3
39,53,2,7,0
59,55,3,0,3
49,48,3,6,0
8,35,0,3,4
44,48,1,2,0
28,9,1,6,4
16,28,3,12,1
13,4,0,10,0
5,44,1,11,0
25,56,3,8,1
13,3,3,5,4
28,30,2,0,0
53,3,3,9,3
52,7,0,6,3
22,19,0,3,1
45,69,2,6,1
37,33,0,12,3
44,16,0,12,3
25,19,1,8,1
20,27,1,4,5
19,7,1,9,2
5,65,2,5,4
63,67,2,11,0
25,24,2,8,0
9,21,2,11,4
61,12,3,1,1
70,27,1,11,4
19,59,0,12,0
36,55,3,12,2
10,43,0,5,2
4,48,2,7,1
3,47,0,4,2
26,29,0,3,5
17,24,3,3,0
47,27,3,8,3
51,23,1,4,4
10,66,1,6,0
7,40,2,8,5
39,59,0,4,3
45,50,0,7,5
44,60,2,8,1
50,65,2,6,4
37,46,2,11,5
38,4,1,11,5
9,51,1,5,5
6,43,0,9,0
31,44,0,4,4
4,26,2,10,2
67,8,2,3,2
7,22,1,12,5
51,35,3,0,2
27,14,2,6,0
24,41,2,1,3
45,69,0,10,4
32,0,1,3,2
1,1,2,5,5
50,5,0,7,1
4,8,3,6,2
51,57,0,5,5
6,35,0,3,1
50,31,3,0,2
33,53,3,4,4
30,61,3,12,5
61,44,2,0,0
47,47,0,5,5
61,65,3,3,5
37,6,0,2,5
68,62,1,0,5
63,43,0,4,0
62,24,0,2,3
56,12,3,12,1
69,67,1,7,0
60,45,0,6,1
25,13,3,2,5
40,19,0,12,0
0,69,1,4,1
50,36,2,2,5
7,48,3,11,2
15,45,1,1,1
31,66,1,10,5
36,54,0,7,3
32,60,3,10,3
3,4,1,7,4
19,13,2,4,0
11,42,2,1,5
28,23,3,4,0
39,49,0,7,4
59,8,3,10,0
34,46,2,9,3
53,34,0,10,5
34,29,1,8,2
59,39,3,12,1
49,65,2,5,4
58,50,0,3,4
7,5,2,12,5
35,46,2,6,1
6,48,3,2,3
34,35,3,3,4
24,10,1,7,3
53,59,3,10,0
56,58,1,3,1
29,33,3,4,3
35,10,2,12,2
0,2,1,12,1
60,5,3,3,4
64,14,3,3,2
27,26,2,9,4
35,7,2,0,1
11,25,0,8,3
65,63,2,6,3
0,30,3,10,4
60,7,0,1,4
42,62,1,7,0
30,8,3,5,2
11,0,1,0,1
34,63,3,6,5
7,48,1,7,5
30,45,1,4,3
52,61,2,12,2
23,43,1,5,1
31,57,3,6,3
65,58,0,6,1
12,34,2,3,1
24,47,0,8,5
39,17,0,6,1
63,69,2,1,1
70,7,1,8,4
30,41,0,10,4
7,24,1,0,2
52,54,3,12,0
56,33,0,0,1
1,58,1,1,4
8,70,3,11,5
37,6,2,1,1
58,41,0,8,0
51,14,1,3,5
64,1,1,11,3
11,14,0,3,0
32,19,0,7,4
12,8,3,10,1
25,40,3,3,3
54,15,2,2,3
54,44,3,6,3
11,28,0,9,5
57,21,2,7,2
1,40,0,3,0
45,62,2,7,0
2,13,0,10,5
2,30,2,4,1
31,47,2,9,0
52,11,2,5,4
39,39,0,8,5
3,66,3,11,2
68,63,0,11,3
68,2,3,12,2
36,7,0,12,0
59,58,1,2,4
9,8,1,10,3
5,41,1,6,2
46,14,0,11,0
14,52,0,3,1
41,23,2,8,5
66,56,0,3,3
60,25,2,10,1
30,43,2,10,5
4,17,3,7,3
34,34,0,3,3
36,47,2,0,1
44,43,0,12,1
57,55,1,0,0
27,3,0,7,0
44,31,3,0,1
12,31,3,2,5
44,27,0,8,2
8,63,2,9,5
37,0,3,5,5
31,35,0,12,3
5,51,0,1,3
54,15,1,9,3
3,26,0,11,4
16,0,2,1,3
34,32,1,11,0
16,15,1,5,5
54,19,1,11,4
42,70,1,6,4
24,60,2,10,4
3,17,2,4,2
5,47,0,3,1
29,7,0,4,3
30,62,0,2,5
10,10,1,8,3
5,70,0,5,1
37,49,2,6,4
70,39,3,8,3
34,64,2,8,3
17,54,2,8,3
50,10,2,1,2
41,52,2,11,0
57,39,3,3,4
56,6,0,6,1
61,42,0,1,5
13,7,3,6,4
26,53,3,7,5
68,24,2,0,3
36,22,3,1,3
70,35,1,5,5
28,66,1,2,5
21,17,3,6,0
59,34,3,10,3
19,2,1,11,1
47,61,3,5,4
49,14,2,3,0
42,24,3,7,2
65,0,3,6,4
38,18,2,9,0
7,52,2,4,2
5,44,2,3,2
70,47,1,10,5
60,45,0,12,1
33,39,2,12,0
16,22,1,9,2
55,37,1,0,0
47,34,3,11,4
52,47,2,0,2
58,68,1,6,2
66,49,3,10,1
51,54,0,5,5
13,32,1,12,4
27,45,1,12,2
46,63,2,10,4
34,2,0,7,2
11,17,1,11,0
26,18,1,2,0
65,59,0,6,0
38,6,0,3,1
56,58,0,11,0
36,21,1,3,4
30,59,0,1,3
55,31,0,2,4
32,67,3,7,4
19,61,0,10,0
68,18,3,7,5
37,14,1,9,3
29,8,2,12,1
9,44,1,9,4
65,18,3,1,2
28,58,0,1,5
51,0,0,1,3
21,41,2,7,3
63,65,0,1,5
18,4,3,12,1
36,62,0,12,2
20,31,0,4,1
43,16,1,7,5
67,1,0,2,2
33,33,0,4,2
61,48,3,10,5
3,41,2,0,5
55,31,3,11,3
2,60,1,5,1
12,9,3,0,0
26,54,2,11,0
46,61,3,7,0
0,45,1,11,4
51,49,0,6,3
41,60,0,1,2
64,40,1,3,2
32,31,3,2,0
56,63,2,7,2
70,58,2,5,1
39,7,1,1,4
43,5,2,1,2
22,69,2,12,4
4,21,0,8,4
46,30,2,3,4
49,37,3,5,3
52,22,2,3,1
2,43,2,8,4
47,65,3,1,5
7,69,1,0,3
58,33,0,3,4
10,46,2,5,4
49,7,0,0,4
30,60,0,0,1
11,25,0,8,4
66,53,1,5,1
63,19,1,1,4
54,35,3,7,3
61,34,2,5,3
43,58,0,9,5
55,1,2,6,3
55,32,1,10,4
69,24,1,2,5
42,18,0,3,1
42,39,2,10,0
15,1,3,3,0
32,64,2,9,0
63,45,3,12,4
46,58,2,6,5
68,23,3,1,4
60,47,1,6,5
59,10,2,1,3
20,54,1,1,3
19,44,1,4,3
21,2,0,10,3
32,30,2,10,3
30,7,0,5,4
39,45,1,3,3
39,11,3,2,1
10,68,0,6,3
46,45,2,1,3
42,9,0,3,1
53,0,3,10,1
43,64,3,12,2
66,42,3,6,4
15,12,0,8,4
52,45,0,5,1
43,2,0,2,1
69,37,1,6,4
44,44,0,0,1
16,3,0,8,5
7,18,1,9,3
23,42,0,9,2
56,23,0,8,2
9,38,0,4,0
51,64,2,6,4
55,43,1,4,2
60,37,0,12,3
40,12,3,3,1
24,35,1,11,2
6,9,2,12,0
18,23,2,11,0
21,41,1,10,1
14,5,1,2,2
68,34,0,9,2
22,37,2,12,0
53,51,2,12,5
53,8,0,1,1
70,5,1,7,5
32,4,1,11,3
38,69,3,5,4
58,50,3,2,0
2,31,1,0,0
28,9,0,3,3
20,17,1,10,4
6,46,1,10,3
19,19,3,10,5
17,1,3,2,3
50,26,0,0,2
30,38,2,9,1
31,55,3,10,3
33,25,2,10,3
29,21,0,10,5
44,2,1,10,3
3,5,1,1,2
66,28,0,7,3
67,24,0,7,0
60,9,0,1,2
38,47,0,10,3
20,22,3,3,5
16,6,1,1,4
20,8,1,10,4
14,15,3,4,2
38,27,2,4,5
63,46,0,3,4
59,57,2,6,4
33,4,0,7,3
54,46,3,12,2
65,50,0,7,4
30,14,2,8,2
25,35,2,12,0
62,29,1,10,5
27,36,1,11,3
2,46,1,1,4
2,59,3,6,5
65,63,0,10,2
36,16,1,7,2
16,9,1,10,3
6,67,3,3,2
30,1,0,0,4
54,59,0,5,2
51,65,1,3,2
13,53,0,9,0
49,11,1,3,5
30,43,1,7,4
5,46,0,11,5
12,67,2,3,5
39,29,3,0,0
15,46,3,2,2
23,5,1,12,4
68,22,1,7,3
64,12,3,6,1
51,18,0,2,1
6,1,2,6,0
62,30,1,1,1
33,20,1,4,0
40,33,1,6,1
20,34,0,12,0
38,47,2,0,2
24,40,3,0,1
22,40,3,3,5
43,56,3,10,2
36,22,2,8,5
65,25,0,2,3
30,67,3,2,0
22,64,2,1,0
4,69,0,9,2
41,27,3,7,3
5,63,2,1,3
45,52,0,8,2
51,35,3,4,0
31,10,2,5,1
47,20,0,9,5
33,14,1,11,1
46,49,3,2,2
64,14,3,10,1
50,48,2,1,4
65,10,1,7,5
63,26,1,7,4
58,34,1,9,3
43,11,2,1,3
58,55,3,11,5
40,44,1,11,4
37,44,1,9,1
64,35,1,4,2
31,9,1,12,5
59,20,3,8,2
44,12,0,7,1
55,26,3,0,2
51,69,3,9,1
13,67,1,11,2
53,22,1,3,4
1,9,3,8,5
2,27,1,0,3
32,27,2,0,1
36,55,1,9,5
62,1,3,5,1
26,3,0,11,1
24,50,0,3,0
10,26,1,5,3
56,70,2,3,2
37,33,3,4,4
30,17,0,1,4
29,65,2,11,3
54,60,0,5,4
3,27,3,4,5
48,17,3,2,5
16,24,2,5,4
66,68,3,8,2
15,46,0,2,3
68,27,1,7,0
19,70,2,8,5
59,57,0,1,2
6,15,0,10,5
47,26,1,0,4
46,42,3,6,1
31,59,3,3,1
5,9,2,12,5
22,13,2,2,3
45,15,2,12,5
13,8,3,7,3
26,4,2,7,2
36,40,1,8,5
9,65,0,9,5
53,69,1,11,1
24,54,1,8,5
22,59,2,2,2
11,39,3,2,1
11,70,2,10,4
60,36,3,1,5
21,19,2,12,3
33,21,3,5,2
51,63,3,1,2
3,8,1,2,4
9,54,1,8,3
24,64,3,12,0
27,4,2,2,2
3,67,0,12,1
68,43,3,8,3
21,6,1,10,2
6,62,1,1,3
63,57,3,8,5
44,16,2,7,2
5,65,1,11,0
67,34,1,7,1
12,30,0,8,2
1,59,3,9,0
12,36,3,7,5
29,46,3,9,1
69,40,2,8,4
32,9,2,4,2
39,36,2,7,5
13,70,3,5,1
7,18,3,5,5
49,13,1,3,5
57,42,3,11,1
44,59,1,6,0
25,70,0,9,3
25,48,3,1,2
51,18,2,5,0
13,11,2,1,3
1,25,1,7,1
21,26,2,4,0
29,15,2,5,4
3,59,1,11,5
41,10,0,3,2
33,65,1,0,5
19,18,3,1,4
3,22,2,7,4
43,32,3,7,2
10,19,3,7,1
42,17,1,10,3
60,16,0,10,5
4,58,1,2,1
60,21,1,5,4
23,54,3,9,2
21,57,3,5,1
53,56,3,12,0
25,55,3,6,2
17,55,3,3,3
29,3,1,2,4
11,18,3,5,4
27,59,0,8,4
51,29,3,5,2
44,17,2,6,3
54,54,1,10,5
23,38,0,1,2
41,43,0,5,1
25,67,1,6,1
62,8,2,0,3
51,5,2,5,0
2,12,2,11,1
36,27,1,2,1
56,43,0,10,0
45,55,0,3,3
0,52,3,7,3
52,20,3,3,1
33,24,1,1,5
70,9,0,8,2
61,49,0,9,4
9,63,1,4,4
48,39,1,8,0
22,46,2,8,4
54,44,3,0,3
21,7,1,2,0
52,48,1,7,2
52,4,2,9,4
49,10,1,10,4
45,6,2,5,3
6,66,2,2,3
39,14,0,1,3
20,43,3,12,1
4,2,0,8,1
11,1,2,3,4
7,6,1,0,3
31,23,3,7,3
16,29,1,4,3
46,4,1,3,3
17,10,2,4,0
40,42,3,3,2
47,66,2,9,1
31,19,0,5,5
31,66,1,6,2
63,8,3,10,3
33,5,3,9,3
60,34,3,8,5
12,36,3,5,2
30,1,0,6,5
58,20,1,2,4
34,3,2,0,4
36,2,2,3,2
6,65,0,2,0
4,35,3,7,3
26,68,0,8,1
43,25,2,9,2
31,64,1,0,2
4,13,0,2,2
58,22,1,8,2
67,7,1,1,5
47,26,2,0,1
27,1,1,6,0
52,20,3,0,2
12,58,0,3,3
25,41,2,2,3
59,59,0,6,4
28,27,3,9,1
7,64,3,8,4
70,30,1,11,4
3,65,1,8,2
15,67,1,1,1
39,52,0,7,5
36,33,2,7,3
65,35,2,12,0
58,59,0,9,4
28,64,0,9,3
53,25,0,1,2
44,59,3,0,3
57,11,1,4,3
31,47,1,0,2
61,52,0,7,4
66,9,2,1,0
13,45,1,8,3
21,40,0,12,5
37,62,0,7,2
55,64,2,0,1
60,20,1,7,0
58,5,0,12,5
40,24,0,6,4
58,42,0,12,4
2,67,3,12,5
60,55,2,7,0
44,17,3,9,0
48,0,3,6,5
28,56,3,9,4
34,32,0,1,0
9,7,0,10,4
66,17,3,7,5
51,14,1,0,4
16,51,0,7,3
57,64,2,3,1
41,50,1,10,1
61,64,2,10,5
36,54,0,1,1
6,33,0,5,4
15,16,0,3,2
1,41,2,3,1
37,55,3,11,5
32,70,1,10,4
8,13,3,3,4
36,1,3,12,5
4,24,2,6,2
38,70,1,8,1
6,43,1,0,4
15,8,0,7,3
14,67,2,4,5
0,66,0,8,2
41,57,1,5,0
9,26,0,10,0
63,42,1,8,2
8,70,2,6,0
12,67,1,6,5
62,17,1,7,0
52,53,1,10,2
10,70,3,3,2
2,31,1,7,3
61,57,1,11,1
18,29,3,12,2
48,29,1,7,3
23,21,2,8,3
44,28,1,12,5
21,39,0,9,2
36,16,1,9,3
9,68,2,6,4
69,9,1,0,4
54,7,2,8,4
24,23,3,3,2
23,68,2,11,0
47,66,0,0,0
10,52,0,6,2
39,59,3,2,2
16,66,1,5,5
46,51,3,3,5
52,57,2,7,2
22,17,3,3,1
35,23,3,11,1
59,8,2,3,2
58,10,2,3,4
0,69,3,11,2
38,35,2,4,2
39,54,3,10,4
6,47,2,12,3
64,34,3,11,5
2,15,3,2,2
17,29,1,1,1
58,40,2,5,1
5,1,2,12,4
33,49,1,5,4
70,44,2,3,1
59,18,1,11,5
30,23,0,8,1
25,16,0,0,0
65,58,0,9,4
9,10,1,1,5
28,69,2,1,5
21,51,2,4,0
7,32,2,8,4
6,19,3,11,4
8,36,1,1,2
40,57,3,4,4
67,28,3,2,4
9,6,0,12,0
36,66,2,6,0
34,32,1,0,2
70,30,3,12,5
51,47,0,2,3
24,44,2,4,2
35,22,2,3,2
13,18,1,1,0
32,61,1,2,5
5,39,3,5,3
43,7,2,7,0
9,48,1,11,4
53,37,1,0,5
4,33,2,9,4
54,51,0,7,0
16,37,1,3,2
15,7,1,3,0
51,61,1,5,1
70,69,0,12,3
56,37,0,0,4
64,52,3,11,2
70,5,2,5,0
62,65,1,10,4
18,24,1,3,3
37,38,3,10,1
29,21,3,3,4
20,5,3,6,2
15,39,3,11,2
47,34,2,2,5
60,58,0,3,3
23,41,0,8,0
34,33,2,6,1
26,13,3,5,2
70,66,1,9,0
65,40,3,4,3
60,28,3,10,4
3,36,2,7,3
43,42,2,6,5
58,24,2,11,5
31,19,1,10,0
47,24,2,3,0
46,52,0,11,4
6,40,1,9,2
10,60,0,9,0
12,17,1,11,1
36,34,2,3,2
27,28,2,0,5
32,46,0,5,3
14,18,3,9,5
9,67,0,4,1
33,41,1,4,5
62,30,3,5,2
36,30,0,7,2
6,3,1,0,2
49,47,1,7,4
17,66,3,11,2
13,38,2,9,2
59,8,1,7,2
36,60,2,10,0
13,63,1,5,0
13,30,1,2,5
25,23,1,11,3
54,16,2,9,0
23,47,0,6,3
35,65,2,9,2
54,24,3,6,1
39,62,0,9,1
62,38,2,7,0
18,38,0,7,0
56,12,1,8,1
68,28,3,12,1
49,43,2,6,3
44,1,2,11,4
50,23,0,0,0
4,50,3,2,1
50,42,1,1,3
50,37,1,4,4
44,23,2,6,1
4,49,3,11,3
43,65,2,1,0
16,3,1,9,2
38,41,2,3,1
66,44,1,3,3
38,25,0,0,0
64,15,0,4,1
51,40,1,3,4
43,54,1,11,0
28,31,2,1,0
0,11,0,12,3
40,23,3,11,1
61,26,0,8,3
3,53,2,7,4
56,57,1,1,5
0,34,0,2,1
70,29,3,12,1
62,67,3,0,3
29,60,1,2,3
6,67,1,2,2
59,54,0,6,0
18,15,1,5,3
11,6,2,3,1
42,3,3,0,4
61,65,0,9,5
10,30,3,2,5
5,69,2,3,5
51,4,0,7,1
